title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.7 - 279 km E of Levuka, Fiji",6.7,30/9/2018 10:52,2,3,green,1,691,us,0,3.745,23,mww,550,-18.3604,-178.063,"Levuka, Fiji",,Fiji
"M 7.5 - 72 km N of Palu, Indonesia",7.5,28/9/2018 10:02,8,8,red,0,2026,us,0,1.649,13,mww,20,-0.2559,119.846,"Palu, Indonesia",,Indonesia
"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,9/9/2018 19:31,3,6,green,1,651,us,0,1.638,25,mww,68,-10.0207,161.503,"Kirakira, Solomon Islands",,Solomon Islands
"M 7.9 - 45 km S of Levuka, Fiji",7.9,6/9/2018 15:49,7,4,green,1,979,us,0,1.431,12,mww,670.81,-18.4743,179.35,"Levuka, Fiji",,Fiji
"M 6.6 - 27 km ESE of Chitose, Japan",6.6,5/9/2018 18:07,8,9,orange,1,1075,us,0,1.13,32,mww,35,42.6861,141.929,"Chitose, Japan",Asia,Japan
"M 7.1 - 136 km W of Iñapari, Peru",7.1,24/8/2018 9:04,0,3,green,0,776,us,0,3.77,12,mww,630,-11.0355,-70.8284,"Iñapari, Peru",South America,Peru
"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,21/8/2018 22:32,6,7,green,1,652,us,0,4.797,10,mww,9,-16.0315,168.143,"Lakatoro, Vanuatu",,Vanuatu
"M 7.3 - 40 km ENE of Carúpano, Venezuela",7.3,21/8/2018 21:31,8,6,yellow,1,1570,us,0,1.822,15,mww,146.82,10.7731,-62.9019,"Carúpano, Venezuela",,Venezuela
"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,19/8/2018 14:56,7,7,green,0,1206,us,0,2.453,31,mww,21,-8.319,116.627,"Labuan Lombok, Indonesia",,Indonesia
"M 8.2 - 267 km E of Levuka, Fiji",8.2,19/8/2018 0:19,5,4,green,1,1050,us,0,3.63,13,mww,600,-18.1125,-178.153,"Levuka, Fiji",,Fiji
"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,17/8/2018 15:35,5,3,green,0,743,us,0,2.719,23,mww,529,-7.3718,119.802,"Labuan Bajo, Indonesia",,Indonesia
"M 6.5 - 108 km WSW of Adak, Alaska",6.5,15/8/2018 21:56,6,6,green,1,655,us,0,0.576,22,mww,33.93,51.4234,-178.026,"Adak, Alaska",North America,United States of America
