title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.7 - 126 km SSW of Kokopo, Papua New Guinea",6.7,30/4/2015 10:45,5,6,green,1,692,us,0,1.239,12,mww,31,-5.375,151.771,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.7 - 21 km SSE of Kod?ri??, Nepal",6.7,26/4/2015 7:09,7,7,yellow,0,1016,us,0,0.727,13,mww,22.91,27.7711,86.0173,"Kod?ri??, Nepal",Asia,Nepal
"M 6.6 - 71 km NNE of Bharatpur, Nepal",6.6,25/4/2015 6:45,8,7,yellow,0,733,us,0,1.778,16,mww,10,28.2244,84.8216,"Bharatpur, Nepal",Asia,Nepal
"M 7.8 - 67 km NNE of Bharatpur, Nepal",7.8,25/4/2015 6:11,8,9,red,0,2820,us,0,1.857,12,mww,8.22,28.2305,84.7314,"Bharatpur, Nepal",Asia,Nepal
"M 7.5 - 53 km SE of Kokopo, Papua New Guinea",7.5,29/3/2015 23:48,6,7,green,1,872,us,0,0.666,19,mww,41,-4.7294,152.562,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 7.0 - 150 km NNE of Maumere, Indonesia",7,27/2/2015 13:45,4,6,green,0,760,us,0,1.362,12,mww,552.06,-7.2968,122.535,"Maumere, Indonesia",,Indonesia
"M 6.7 - 103 km W of El Aguilar, Argentina",6.7,11/2/2015 18:57,4,6,green,1,700,us,0,2.11,16,mww,223,-23.1125,-66.688,"El Aguilar, Argentina",South America,Argentina
"M 6.8 - 81 km NNE of Port-Vila, Vanuatu",6.8,23/1/2015 3:47,1,4,green,1,711,us,0,2.019,13,mww,219.96,-17.0309,168.52,"Port-Vila, Vanuatu",,Vanuatu
"M 6.6 - 22 km ESE of Punta de Burica, Panama",6.6,8/12/2014 8:54,7,6,green,1,709,us,0,2.485,43,mww,20,7.9401,-82.6865,"Punta de Burica, Panama",,Panama
"M 6.6 - 106 km WSW of Sangay, Philippines",6.6,2/12/2014 5:11,1,3,green,0,670,us,0,2.6,9,mww,614,6.1572,123.126,"Sangay, Philippines",,Philippines
"M 6.8 - 157 km NW of Ternate, Indonesia",6.8,26/11/2014 14:33,6,5,green,1,713,us,0,1.421,19,mww,39,1.9604,126.575,"Ternate, Indonesia",,Indonesia
"M 6.5 - 123 km WNW of Tobelo, Indonesia",6.5,21/11/2014 10:10,5,5,green,1,652,us,0,1.549,9,mww,35,2.2999,127.056,"Tobelo, Indonesia",,Indonesia
"M 7.1 - 155 km NW of Ternate, Indonesia",7.1,15/11/2014 2:31,4,6,green,1,779,us,0,1.397,18,mww,45,1.8929,126.522,"Ternate, Indonesia",,Indonesia
"M 6.6 - 76 km NE of Finschhafen, Papua New Guinea",6.6,7/11/2014 3:33,2,6,green,1,671,us,0,3.557,13,mww,53.19,-5.9873,148.232,"Finschhafen, Papua New Guinea",,Papua New Guinea
"M 6.8 - 38 km NW of Aniso, Peru",6.8,24/8/2014 23:21,6,6,green,1,741,us,0,4.107,18,mww,101,-14.598,-73.5714,"Aniso, Peru",South America,Peru
M 6.9 - Fiji region,6.9,21/7/2014 14:54,0,6,green,1,732,us,0,3.934,15,mww,615.42,-19.8015,-178.4,Fiji region,,Fiji
"M 6.9 - 4 km W of Puerto Madero, Mexico",6.9,7/7/2014 11:23,8,7,orange,1,1079,us,0,0.263,51,mww,53,14.724,-92.4614,"Puerto Madero, Mexico",,Mexico
"M 7.9 - Rat Islands, Aleutian Islands, Alaska",7.9,23/6/2014 20:53,6,8,green,1,963,us,0,0.133,22,mww,109,51.8486,178.735,"Rat Islands, Aleutian Islands, Alaska",North America,United States of America
"M 6.9 - 21 km SSW of Kamariótissa, Greece",6.9,24/5/2014 9:25,9,7,green,0,951,us,0,0.402,25,mww,6.43,40.2893,25.3889,"Kamariótissa, Greece",Europe,Greece
"M 6.6 - 57 km SW of Panguna, Papua New Guinea",6.6,19/4/2014 1:04,0,6,green,1,670,us,0,3.803,11,mww,29,-6.6558,155.087,"Panguna, Papua New Guinea",,Papua New Guinea
"M 7.2 - 9 km ENE of Coyuquilla Norte, Mexico",7.2,18/4/2014 14:27,8,7,yellow,1,1017,us,0,2.25,46,mww,24,17.397,-100.972,"Coyuquilla Norte, Mexico",North America,Mexico
"M 6.6 - 15 km N of Belén, Nicaragua",6.6,11/4/2014 20:29,6,5,green,1,677,us,0,0.761,20,mww,135,11.642,-85.8779,"Belén, Nicaragua",,Nicaragua
"M 7.1 - 56 km WSW of Panguna, Papua New Guinea",7.1,11/4/2014 7:07,0,7,green,1,776,us,0,3.729,21,mww,60.53,-6.5858,155.048,"Panguna, Papua New Guinea",,Papua New Guinea
"M 6.9 - 272 km ESE of Hotan, China",6.9,12/2/2014 9:19,3,8,yellow,0,733,us,0,7.496,18,mww,10,35.9053,82.5864,"Hotan, China",Asia,People's Republic of China
"M 6.5 - 32 km E of Port-Olry, Vanuatu",6.5,7/2/2014 8:40,0,5,green,1,650,us,0,0.409,20,mww,122,-15.0691,167.372,"Port-Olry, Vanuatu",,Vanuatu
"M 6.5 - 32 km W of Sola, Vanuatu",6.5,1/1/2014 16:03,0,4,green,1,650,us,0,3.997,14,mww,187,-13.8633,167.249,"Sola, Vanuatu",,Vanuatu
M 7.7 - Scotia Sea,7.7,17/11/2013 9:04,1,8,green,1,912,us,0,8.05,23,mww,10,-60.2738,-46.4011,Scotia Sea,,United Kingdom of Great Britain and Northern Ireland (the)
M 6.9 - Scotia Sea,6.9,16/11/2013 3:34,0,5,green,1,732,us,0,8.284,17,mww,9.97,-60.2627,-47.0621,Scotia Sea,,United Kingdom of Great Britain and Northern Ireland (the)
"M 6.6 - 41 km SSW of Coquimbo, Chile",6.6,31/10/2013 23:03,6,7,green,1,723,us,0,0.636,31,mww,27,-30.2921,-71.5215,"Coquimbo, Chile",South America,Chile
"M 6.8 - 62 km WSW of Panguna, Papua New Guinea",6.8,16/10/2013 10:30,0,6,green,1,711,us,0,5.79,9,mww,35,-6.4456,154.931,"Panguna, Papua New Guinea",,Papua New Guinea
"M 7.1 - 4 km SE of Sagbayan, Philippines",7.1,15/10/2013 0:12,9,8,orange,1,1092,us,0,3.144,12,mww,19.04,9.8796,124.117,"Sagbayan, Philippines",,Philippines
"M 6.8 - 129 km WSW of Khuzdar, Pakistan",6.8,28/9/2013 7:34,7,7,orange,0,1005,us,0,7.359,17,mww,12,27.1825,65.5052,"Khuzdar, Pakistan",Asia,Pakistan
"M 7.1 - 16 km WSW of Atiquipa, Peru",7.1,25/9/2013 16:42,8,7,green,1,843,us,0,4.446,17,mww,40,-15.8385,-74.5112,"Atiquipa, Peru",,Peru
"M 7.7 - 113 km NW of Bela, Pakistan",7.7,24/9/2013 11:29,5,8,red,0,2015,us,0,7.241,17,mww,15,26.951,65.5009,"Bela, Pakistan",Asia,Pakistan
"M 6.5 - 180 km NE of Lospalos, Timor Leste",6.5,1/9/2013 11:52,4,5,green,0,668,us,0,3.097,11,mww,112,-7.44,128.221,"Lospalos, Timor Leste",,Indonesia
"M 6.5 - 29 km SE of Blenheim, New Zealand",6.5,16/8/2013 2:31,9,7,yellow,1,690,us,0,0,0,mww,8.2,-41.734,174.152,"Blenheim, New Zealand",,New Zealand
"M 6.5 - 38 km ESE of Blenheim, New Zealand",6.5,21/7/2013 5:09,6,7,yellow,1,693,us,229,0,20,mww,17,-41.704,174.337,"Blenheim, New Zealand",,New Zealand
M 7.3 - South Sandwich Islands region,7.3,15/7/2013 14:03,0,6,green,1,820,us,398,0,43,mww,11,-60.857,-25.07,South Sandwich Islands region,,United Kingdom of Great Britain and Northern Ireland (the)
"M 6.6 - 26 km NE of Kandrian, Papua New Guinea",6.6,7/7/2013 20:30,4,6,green,0,674,us,139,0,14,mww,56,-6.029,149.706,"Kandrian, Papua New Guinea",,Papua New Guinea
"M 7.3 - 190 km ENE of Kokopo, Papua New Guinea",7.3,7/7/2013 18:35,0,4,green,1,820,us,117,0,24,mww,385.5,-3.917,153.927,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.5 - 33 km N of Rabaul, Papua New Guinea",6.5,23/4/2013 23:14,0,6,green,1,650,us,264,0,16.6,mww,10,-3.898,152.127,"Rabaul, Papua New Guinea",,Papua New Guinea
"M 6.6 - 56 km WSW of Linqiong, China",6.6,20/4/2013 0:02,8,8,red,0,2083,us,548,0,12.6,mww,14,30.308,102.888,"Linqiong, China",Asia,People's Republic of China
"M 7.2 - 252 km ENE of Kuril’sk, Russia",7.2,19/4/2013 3:05,5,7,green,1,804,us,770,0,10.1,mww,110,46.221,150.788,"Kuril’sk, Russia",Asia,Russia
"M 6.6 - 23 km ESE of Aitape, Papua New Guinea",6.6,16/4/2013 22:55,7,7,green,1,672,us,445,0,11,mww,13,-3.214,142.542,"Aitape, Papua New Guinea",,Papua New Guinea
"M 7.7 - 79 km ESE of Kh?sh, Iran",7.7,16/4/2013 10:44,8,8,yellow,0,1421,us,506,0,26.6,mww,80,28.033,61.996,"Kh?sh, Iran",Asia,Iran
"M 7.0 - 260 km WSW of Abepura, Indonesia",7,6/4/2013 4:42,3,7,green,1,755,us,640,0,11.4,mww,66,-3.517,138.476,"Abepura, Indonesia",,Indonesia
"M 6.5 - 36 km E of Finschhafen, Papua New Guinea",6.5,10/3/2013 22:51,0,6,green,1,650,us,317,0,14.2,mww,28,-6.598,148.174,"Finschhafen, Papua New Guinea",,Papua New Guinea
"M 6.6 - 183 km SW of Belaya Gora, Russia",6.6,14/2/2013 13:13,0,7,green,1,670,us,697,0,15.3,mww,11,67.631,142.508,"Belaya Gora, Russia",Asia,Russia
"M 6.6 - 30 km SSW of Lata, Solomon Islands",6.6,9/2/2013 21:02,0,6,green,1,670,us,421,0,16.6,mww,18,-10.994,165.741,"Lata, Solomon Islands",,Solomon Islands
"M 6.9 - 2 km NNE of Yacuanquer, Colombia",6.9,9/2/2013 14:16,5,5,green,1,904,us,562,0,23.7,mww,145,1.135,-77.393,"Yacuanquer, Colombia",South America,Colombia
"M 7.1 - 32 km SE of Lata, Solomon Islands",7.1,8/2/2013 15:26,9,6,green,1,780,us,334,0,16.5,mww,21,-10.928,166.018,"Lata, Solomon Islands",,Solomon Islands
"M 6.8 - 22 km ESE of Lata, Solomon Islands",6.8,8/2/2013 11:12,0,7,green,1,711,us,400,0,17.5,mww,12,-10.838,165.969,"Lata, Solomon Islands",,Solomon Islands
"M 6.7 - 33 km SSW of Lata, Solomon Islands",6.7,7/2/2013 18:59,0,6,green,1,691,us,387,0,26.5,mww,11,-10.997,165.655,"Lata, Solomon Islands",,Solomon Islands
"M 7.0 - 33 km NW of Lata, Solomon Islands",7,6/2/2013 1:54,0,6,green,0,754,us,445,0,17.5,mww,8.8,-10.499,165.588,"Lata, Solomon Islands",,Solomon Islands
"M 6.9 - 18 km SSW of Obihiro, Japan",6.9,2/2/2013 14:17,6,7,yellow,0,814,us,686,0,28,mww,107,42.77,143.092,"Obihiro, Japan",Asia,Japan
"M 6.8 - 54 km N of Vallenar, Chile",6.8,30/1/2013 20:15,6,7,green,0,771,us,596,0,19.3,mww,45,-28.094,-70.653,"Vallenar, Chile",South America,Chile
